Commodity Name,Absolute Price,Dollar Price
Золото,95442.5366237068,4364.5
Серебро,1405.7572913503861,64.28399658203125
Платина,39298.83840905566,1797.0999755859375
Нефть WTI,2241.0245099305143,102.4800033569336
Медь,141.41983848635138,6.4670000076293945
Алюминий,75471.65872896508,3451.25
Цинк,2332.0086509651696,106.640625
Пшеница,15815.973104157621,723.25
Кукуруза,11240.110854527504,514.0
Соя,28778.182654782482,1316.0
Кофе,6894.954893432175,315.29998779296875
Сахар,409.58613066145085,18.729999542236328
Природный газ,61.97368755871971,2.8340001106262207
